ENGINEERING CUTOFF RANK OF CET-2016 - R2 Extended ALLOTMENT ( General ) 26-07-2016,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,E001  University Visveswariah College of Engineering  Bangalore,,,,,,,,,,,,,,,,,,,,
,1G,1K,1R,2AG,2AK,2AR,2BG,2BK,2BR,3AG,3AK,3AR,3BG,3BK,3BR,GM,GMK,GMR,SCG,SCK,SCR,STG,STK,STR
IE Info.Science,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,126737,--,--,--,--,--,--,--,--
ME Mechanical,116638,--,--,--,--,--,118654,--,--,121408,--,--,124073,--,--,115805115992,,122163125834,,--,--,--,--,--
14,,E014  S J C Institute of Technology  Chickballapur,,,,,,,,,,,,,,,,,,,,,,
,1G,1K,1R,2AG,2AK,2AR,2BG,2BK,2BR,3AG,3AK,3AR,3BG,3BK,3BR,GM,GMK,GMR,SCG,SCK,SCR,STG,STK,STR
AE Aeronaut.Engg,32748,--,--,28294,--,--,43262,--,--,23383,--,28681,23776,--,--,21458,--,24638,44802,--,--,--,--,27594
CE Civil,52438,60986,--,59356,--,60862,52731,--,--,49487,--,51346,45787,--,--,41630,44058,48510,65240,--,81324,45198,--,--
CS Computers,37441,--,--,27496,--,46053,35042,--,69245,22484,--,--,24867,57329,75678,20701,36190,27189,61075,--,67462,41042,--,--
EC Electronics,40451,--,--,32024,59530,32464,35108,--,110363,23490,--,--,29664,--,--,22913,33817,31333,76415,--,88668,30523,--,--
IE Info.Science,50061,--,121421,43867,--,52093,48381,--,--,36054,--,--,37797,--,47053,34716,46183,45970,115917,--,--,64368,--,--
ME Mechanical,53757,--,95581,68417,78847,85039,49426,--,--,43751,--,--,47578,--,--,38041,46356,52821,87515,,103017119798,54585,--,--
TC Telecommn.,64620,--,--,83738,--,--,96396,--,--,65290,--,--,89786,--,--,64083,--,69834,109847,--,--,91291,--,--
15,,,E015  Dr.T.Thimmaiah Institute of Technology  K.G.F.,,,,,,,,,,,,,,,,,,,,,
,1G,1K,1R,2AG,2AK,2AR,2BG,2BK,2BR,3AG,3AK,3AR,3BG,3BK,3BR,GM,GMK,GMR,SCG,SCK,SCR,STG,STK,STR
CE Civil,106369,--,--,104558,--,--,103167,--,--,101008,--,--,103478104141,,--,98301,--,103366116961,,--,--,103069,--,--
CS Computers,124423,--,--,116997,--,--,112211,--,--,122617,--,--,119098,--,,126243108617,,113717125612,126595,--,--,--,--,--
EC Electronics,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,126001,--,--,--,--,--,--,--,--
EE Electrical,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,124439,--,--,--,--,--,--,--,--
ME Mechanical,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,127398,--,--,--,--,--,--,--,--
MN Mining,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,125973,--,--,--,--,--,--,--,--
16,,E016  Siddaganga Institute of Technology  Tumkur,,,,,,,,,,,,,,,,,,,,,,
,1G,1K,1R,2AG,2AK,2AR,2BG,2BK,2BR,3AG,3AK,3AR,3BG,3BK,3BR,GM,GMK,GMR,SCG,SCK,SCR,STG,STK,STR
BT Bio Technology,--,--,--,28598,--,--,--,--,--,--,50269,--,--,--,--,22203,--,40106,57982,--,--,37007,--,64952
,,,,,,,,,,,,,,,,,,,,,,,,
ENGINEERING CUTOFF RANK OF CET-2016 - R2 Extended ALLOTMENT ( General ) 26-07-2016,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
16,,E016  Siddaganga Institute of Technology  Tumkur,,,,,,,,,,,,,,,,,,,,,,
,1G,1K,1R,2AG,2AK,2AR,2BG,2BK,2BR,3AG,3AK,3AR,3BG,3BK,3BR,GM,GMK,GMR,SCG,SCK,SCR,STG,STK,STR
CE Civil,19502,--,--,17552,--,--,17891,37983,22791,20260,--,24752,12222,--,--,11858,12644,16554,21714,--,--,--,--,--
CH Chemical,61653,--,--,41855,--,--,34047,--,--,30440,--,--,24979,--,--,22964,40440,27949,75091,112765,--,--,--,37070
CS Computers,9834,16546,19684,8016,--,12722,5240,--,--,6066,--,--,7031,--,8687,4909,7962,8649,35336,--,40403,20162,--,--
EC Electronics,10336,--,--,9976,--,16725,12795,--,--,6812,--,--,7509,20215,9056,5872,10340,8497,26823,--,29647,21519,--,--
EE Electrical,24565,--,--,13248,22127,22625,12410,--,--,11003,--,--,10763,--,--,9628,--,18692,42957,--,47740,--,--,--
EI Elec. Inst.,39931,--,--,30758,--,--,30255,--,--,19523,--,--,18563,--,--,17335,30525,28841,92899,--,--,--,--,--
Engineering,,,,,,,,,,,,,,,,,,,,,,,,
IE Info.Science,11950,--,--,11969,--,15738,11623,--,--,9361,--,--,7885,--,--,7631,13047,12191,40774,--,41127,--,--,--
IM Ind. Engg.,59701,--,--,45276,--,--,36563,--,--,26667,--,--,26836,--,--,25498,--,45106,80149,116922,80373,--,--,--
Mgmt.,,,,,,,,,,,,,,,,,,,,,,,,
ME Mechanical,17930,--,28349,22164,34421,27861,18865,--,36936,19320,--,--,14089,--,17704,12869,13362,17197,36064,39412,39968,27730,--,--
TC Telecommn.,15641,--,--,18286,--,53916,39343,--,--,17792,--,--,14139,--,--,13764,23495,16223,39700,--,99160,28645,--,--
17,,,E017  Sri Siddartha Institute of Technology  Tumkur,,,,,,,,,,,,,,,,,,,,,
,1G,1K,1R,2AG,2AK,2AR,2BG,2BK,2BR,3AG,3AK,3AR,3BG,3BK,3BR,GM,GMK,GMR,SCG,SCK,SCR,STG,STK,STR
CE Civil,65088,--,--,54484,--,55114,36635,--,--,43252,59703,--,40943,--,--,36106,37353,44226,55643,--,67927,44108,--,--
CS Computers,44507,--,61551,42058,51762,44441,52129,--,--,36241,--,45808,35857,--,39820,28059,35112,35640,61280,74617,86569,70081,--,--
EC Electronics,47202,--,96527,58285,--,59974,84253,--,--,38551,--,--,43149,--,65198,37693,43205,55725,69315,--,78328,46666,--,--
EE Electrical,71026,85805,--,69079,--,72592,57291,--,--,56507,--,--,55555,--,--,49038,57454,65628,72604,--,72830,60004,--,--
IE Info.Science,92081,--,--,60483,--,--,45311,--,--,50963,--,54499,48598,--,--,44117,45863,54166,125305,--,--,67432,--,--
IM Ind. Engg.,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,127388,--,--,--,--,--,--,--,--
Mgmt.,,,,,,,,,,,,,,,,,,,,,,,,
MD Med.Elect.,93247,--,--,114948,--,--,101547,--,--,--,--,--,98588,--,--,82108,--,109946123768,,--,--,96465,--,--
ME Mechanical,59105,--,--,67231,76119,68088,80715,--,84428,56319,--,--,56309,--,--,47627,51836,54790,64256,--,85809,56467,--,--
TC Telecommn.,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,127318,--,--,--,--,--,--,--,--
18,,E018  Kalpatharu Institute of Technology  Tiptur,,,,,,,,,,,,,,,,,,,,,,
,1G,1K,1R,2AG,2AK,2AR,2BG,2BK,2BR,3AG,3AK,3AR,3BG,3BK,3BR,GM,GMK,GMR,SCG,SCK,SCR,STG,STK,STR
CE Civil,100160,--,--,83640,--,90326,78838,--,--,69826,--,--,66276,84306,--,65717,--,72561,88422,--,--,--,--,85271
