CollegeName,BranchName,Quota,CutoffRank
E057  JSS Science and Technology University(Formerly SJCE)  Mysore,CS Computers,2BG,4383
E001  University Visveswariah College of Engineering  Bangalore,EC Electronics,3AG,4400
"E048  B M S College of Engineering  Basavanagudi,Bangalore",EI Elec. Inst.,GM,4404
E005  R. V. College of Engineering  Bangalore,CE Civil,1G,4429
E008  Bangalore Institute of Technology  Bangalore,EC Electronics,3AG,4444
E057  JSS Science and Technology University(Formerly SJCE)  Mysore,CS Computers,2AG,4454
E009  P E S University (Formerly PESIT)  Bangalore,EC Electronics,3BR,4462
E009  P E S University (Formerly PESIT)  Bangalore,ME Mechanical,3AG,4463
E057  JSS Science and Technology University(Formerly SJCE)  Mysore,CS Computers,GMK,4467
E005  R. V. College of Engineering  Bangalore,ME Mechanical,2BR,4484
E022  The National Institute of Engineering  Mysore,ME Mechanical,GM,4486
"E048  B M S College of Engineering  Basavanagudi,Bangalore",EC Electronics,2AR,4491
E021  JSS Science and Technology University(Formerly SJCE)  Mysore,EC Electronics,2BG,4492
E005  R. V. College of Engineering  Bangalore,CE Civil,3AG,4518
E001  University Visveswariah College of Engineering  Bangalore,EC Electronics,GMK,4554
E005  R. V. College of Engineering  Bangalore,CE Civil,2BG,4583
E005  R. V. College of Engineering  Bangalore,TC Telecommn.,1G,4612
E022  The National Institute of Engineering  Mysore,EC Electronics,GMK,4631
E006  M S Ramaiah Institute of Technology  Bangalore,ME Mechanical,3AG,4643
"E003  B M S College of Engineering  Basavanagudi,Bangalore",ME Mechanical,GMK,4645
"E048  B M S College of Engineering  Basavanagudi,Bangalore",CH Chemical,GM,4703
"E048  B M S College of Engineering  Basavanagudi,Bangalore",ME Mechanical,2BG,4708
E009  P E S University (Formerly PESIT)  Bangalore,EE Electrical,GMK,4712
"E126  B M S Institute of Technology and Management  Yalahanka,",EC Electronics,GM,4743
E022  The National Institute of Engineering  Mysore,EC Electronics,GMR,4764
E005  R. V. College of Engineering  Bangalore,TC Telecommn.,GMR,4783
E005  R. V. College of Engineering  Bangalore,TC Telecommn.,2BG,4799
"E048  B M S College of Engineering  Basavanagudi,Bangalore",IE Info.Science,2AK,4813
E005  R. V. College of Engineering  Bangalore,IT Inst.Tech.,2AG,4814
E006  M S Ramaiah Institute of Technology  Bangalore,IE Info.Science,1G,4817
E005  R. V. College of Engineering  Bangalore,CE Civil,3BG,4822
E012  Sir M.Visveswaraya Institute of Technology  Bangalore,CS Computers,3AG,4826
"E003  B M S College of Engineering  Basavanagudi,Bangalore",EE Electrical,GMK,4831
"E126  B M S Institute of Technology and Management  Yalahanka,",EC Electronics,3BG,4868
E009  P E S University (Formerly PESIT)  Bangalore,ME Mechanical,3BG,4874
E021  JSS Science and Technology University(Formerly SJCE)  Mysore,CS Computers,2BR,4888
E056  The National Institute of Engineering  Mysore,IE Info.Science,GM,4893
E016  Siddaganga Institute of Technology  Tumkur,CS Computers,GM,4909
E009  P E S University (Formerly PESIT)  Bangalore,EE Electrical,3BG,4956
E005  R. V. College of Engineering  Bangalore,IT Inst.Tech.,3AG,4987
E057  JSS Science and Technology University(Formerly SJCE)  Mysore,EC Electronics,2AG,5011
"E048  B M S College of Engineering  Basavanagudi,Bangalore",ME Mechanical,GMK,5037
E001  University Visveswariah College of Engineering  Bangalore,IE Info.Science,GM,5048
E001  University Visveswariah College of Engineering  Bangalore,IE Info.Science,3AG,5077
"E048  B M S College of Engineering  Basavanagudi,Bangalore",CS Computers,STG,5083
E006  M S Ramaiah Institute of Technology  Bangalore,IE Info.Science,2AG,5087
"E048  B M S College of Engineering  Basavanagudi,Bangalore",TC Telecommn.,3AG,5089
E056  The National Institute of Engineering  Mysore,ME Mechanical,GM,5096
E009  P E S University (Formerly PESIT)  Bangalore,CS Computers,3BK,5115
E006  M S Ramaiah Institute of Technology  Bangalore,EC Electronics,3BR,5123
E007  Dayananda Sagar College of Engineering  Bangalore,EC Electronics,GM,5124
E009  P E S University (Formerly PESIT)  Bangalore,CS Computers,3BR,5151
E006  M S Ramaiah Institute of Technology  Bangalore,ME Mechanical,3BG,5157
E030  KLE Technological University(Formerly BVBCET)  Hubli,EC Electronics,GMR,5161
E007  Dayananda Sagar College of Engineering  Bangalore,AE Aeronaut.Engg,GM,5164
E056  The National Institute of Engineering  Mysore,IE Info.Science,3BG,5201
E006  M S Ramaiah Institute of Technology  Bangalore,ME Mechanical,2BG,5205
"E048  B M S College of Engineering  Basavanagudi,Bangalore",TC Telecommn.,2AG,5215
E007  Dayananda Sagar College of Engineering  Bangalore,CS Computers,3BG,5223
E016  Siddaganga Institute of Technology  Tumkur,CS Computers,2BG,5240
